zipcode
57.084-033
57.084-033
29.050-680
28.893-549
08.140-060
08.140-060
08.140-060
08.140-060
60.425-812
60.425-812
25.963-690
65.056-010
65.082-403
68.738-000
55.900-000
55.900-000
13.098-650
08.840-000
38.410-650
08.840-000
38.410-650
38.410-650
38.410-650
78.200-000
58.400-000
49.000-560
09.726-120
88.840-000
02.812-090
05.774-260
51.011-360
29.056-245
60.410-226
69.919-697
52.050-005
60.410-226
03.921-040
88.840-000
69.900-391
88.840-000
58.400-000
71.201-960
29.060-030
29.060-030
88.840-000
71.201-960
60.182-490
74.982-130
38.414-050
60.425-812
70.866-060
29.450-000
70.866-060
50.610-250
04.571-210
38.900-000
35.700-742
12.242-020
88.840-000
69.919-124
40.391-402
74.855-050
61.654-125
03.589-000
89.610-000
41.515-272
60.742-110
60.425-812
60.742-110
35.520-138
29.101-782
58.400-000
52.280-514
35.420-000
09.190-130
90.630-060
74.491-718
29.060-445
69.919-784
20.011-000
11.702-790
58.400-000
11.702-790
53.437-100
50.620-510
52090380
88.840-000
76.190-000
64.057-378
11.060-230
64.800-000
58.025-090
29.060-030
87.560-000
58.400-000
46.100-000
60.442-642
58.045-040
57.083-410
58.025-090
68440000
